2-21-2016,2-22-2016,H:51,L:29,36,7,NNE,10,NNE,0.35
2-21-2016,2-23-2016,H:40,L:17,51,10,NNE,15,NNE,0.0
2-21-2016,2-24-2016,H:51,L:25,42,6,E,10,E,0.0
2-22-2016,2-22-2016,H:49,L:28,39,7,NE,10,NE,0.34
2-22-2016,2-23-2016,H:39,L:20,49,9,NNE,10,NNE,0.0
2-22-2016,2-24-2016,H:53,L:26,36,7,WNW,10,WNW,0.0
2-22-2016,2-25-2016,H:51,L:29,41,7,E,10,E,0.0
2-23-2016,2-23-2016,H:43,L:19,47,8,NNE,10,NNE,0.0
2-23-2016,2-24-2016,H:53,L:26,37,7,NE,10,NE,0.0
2-23-2016,2-25-2016,H:53,L:30,42,6,E,10,E,0.0
2-23-2016,2-26-2016,H:57,L:32,41,6,SSE,10,SSE,0.0
2-24-2016,2-24-2016,H:53,L:25,31,7,NNW,10,NNW,0.0
2-24-2016,2-25-2016,H:51,L:30,42,6,E,10,E,0.0
2-24-2016,2-26-2016,H:60,L:35,36,5,SE,10,SE,0.0
2-24-2016,2-27-2016,H:66,L:40,26,13,W,20,W,0.0
2-25-2016,2-25-2016,H:50,L:30,42,6,ESE,10,ESE,0.0
2-25-2016,2-26-2016,H:62,L:36,37,6,SSE,10,SSE,0.0
2-25-2016,2-27-2016,H:70,L:42,25,15,W,20,W,0.0
2-25-2016,2-28-2016,H:63,L:36,25,11,W,15,W,0.0
2-26-2016,2-26-2016,H:63,L:37,35,6,SSW,10,SSW,0.0
2-26-2016,2-27-2016,H:69,L:38,26,11,W,15,W,0.0
2-26-2016,2-28-2016,H:62,L:37,27,11,W,15,W,0.0
2-26-2016,2-29-2016,H:60,L:33,29,13,WSW,20,WSW,0.0
2-27-2016,2-27-2016,H:68,L:39,25,16,W,20,W,0.0
2-27-2016,2-28-2016,H:64,L:37,24,12,SSW,15,SSW,0.0
2-27-2016,2-29-2016,H:60,L:31,31,16,W,20,W,0.0
2-27-2016,3-1-2016,H:54,L:33,25,12,S,15,S,0.0
2-28-2016,2-28-2016,H:65,L:37,25,7,SSW,10,SSW,0.0
2-28-2016,2-29-2016,H:59,L:30,28,18,W,25,W,0.0
2-28-2016,3-1-2016,H:60,L:38,26,10,SW,15,SW,0.0
2-28-2016,3-2-2016,H:59,L:32,28,20,W,30,W,0.0
2-29-2016,2-29-2016,H:63,L:30,26,18,W,25,W,0.0
2-29-2016,3-1-2016,H:59,L:38,22,11,W,15,W,0.0
